C1_E1_C1,C1_E1_C2,C1_E2_C1,C1_E2_C2,C1_E3_C1,C1_E3_C2,C2_E1_C1,C2_E1_C2,C2_E2_C1,C2_E2_C2,C2_E3_C1,C2_E3_C2
6.13598673300166,2.07296849087894,2.40464344941957,3.3167495854063,2.32172470978441,1.40961857379768,11.4427860696517,4.31177446102819,8.51299060254284,6.35710337202875,1.71365395245992,1.76893311221669
5.89788732394366,1.58450704225352,1.23239436619718,2.64084507042254,1.84859154929577,1.40845070422535,4.98826291079812,4.57746478873239,3.63849765258216,4.46009389671362,2.46478873239437,4.63615023474178
6.03174603174603,4.28571428571429,0.952380952380952,5.71428571428571,3.65079365079365,3.17460317460317,7.72486772486772,6.66666666666667,4.55026455026455,5.92592592592593,4.12698412698413,5.71428571428571
6.80473372781065,1.18343195266272,0.887573964497042,2.81065088757396,1.77514792899408,1.62721893491124,7.10059171597633,5.12820512820513,6.31163708086785,5.12820512820513,2.36686390532544,3.05719921104536
4.82625482625483,1.73745173745174,1.35135135135135,3.86100386100386,1.73745173745174,1.54440154440154,7.20720720720721,5.66280566280566,4.37580437580438,6.94980694980695,2.18790218790219,2.7027027027027
